figure_panel,frequency_band,monkey_id,area,time_ms,condition,mean_cp,sem_cp,source_file,notes
FigS1,high_gamma,Monkey_A,V4,150.0,post,0.4918804068126861,0.0055422297959513,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,170.0,pre,0.5631548634907836,0.0195619386772381,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,170.0,post,0.4857324955521023,0.0046938269936716,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,190.0,pre,0.5499433308976684,0.0109585999966404,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,190.0,post,0.4763839997464302,0.002751253877574,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,210.0,pre,0.5253293893760219,0.003482433117203,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,210.0,post,0.4811368667949529,0.0030176873267655,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,230.0,pre,0.50279865450514,0.0006464674460794,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,230.0,post,0.4993112827711842,0.004937529246022,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,250.0,pre,0.5094809472216624,0.016377792615736,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,250.0,post,0.5170083219268635,0.0042733632445589,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,270.0,pre,0.5024902748381822,0.0119042034816008,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,270.0,post,0.5254325108163362,0.0001226093332032,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,290.0,pre,0.5003367621615267,0.0092084614157091,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,290.0,post,0.519350404251965,0.0027618854581897,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,310.0,pre,0.4952985999126521,0.0051942862662097,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,310.0,post,0.518512646376079,0.0029605273584285,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,330.0,pre,0.488564491925911,0.0012762939819481,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,330.0,post,0.50782928080435,0.0014429755747233,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,350.0,pre,0.492306410137965,0.0019017538186745,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,350.0,post,0.4966687469398547,0.0004444511173335,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,370.0,pre,0.5045678052699948,0.0067211513695715,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,370.0,post,0.4873575909535642,0.0001712296716687,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,390.0,pre,0.5126845142108447,0.0025898760330577,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,390.0,post,0.4874311311965074,0.0039644651971296,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,0.0,pre,0.5023138452897364,0.004484740630141,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,0.0,post,0.5032871289128495,0.0021586267846149,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,20.0,pre,0.500964955432641,0.0016849410176485,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,20.0,post,0.5006963327377174,0.002424621366864,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,40.0,pre,0.5009935621249674,0.004001227411895,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,40.0,post,0.4982353987243624,0.0032119651725753,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,60.0,pre,0.5007552244089144,0.0029138122490022,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,60.0,post,0.4979683850411962,0.0042829691909159,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,80.0,pre,0.5036232550523184,0.0006128646696142,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,80.0,post,0.4962292068930402,0.0056608885361724,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,100.0,pre,0.5068513666757761,0.0007894675259678,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,100.0,post,0.4951094758348319,0.0066389292501416,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,120.0,pre,0.5106571077372086,0.0020414372904266,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,120.0,post,0.496687322257157,0.0072612294255916,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,140.0,pre,0.5114791200376305,0.0001527178707971,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,140.0,post,0.4962087073306584,0.0076179634620009,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,160.0,pre,0.5109424320610938,0.0034692560529679,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,160.0,post,0.4963112840435644,0.0061131352698329,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,180.0,pre,0.5099243499415331,0.0048744482148251,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,180.0,post,0.4947770874365432,0.005562001969345,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,200.0,pre,0.5085744300037989,0.0036541698763732,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,200.0,post,0.4941313810930594,0.005444665330611,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,220.0,pre,0.5057650751216084,0.0044853853750084,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,220.0,post,0.4952582147284003,0.0035481464897677,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,240.0,pre,0.5026039746667139,0.0047699180243627,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,240.0,post,0.4960536917417706,0.002524919361526,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,260.0,pre,0.5006321928201176,0.0039727988167671,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,260.0,post,0.4961321731021097,0.0017131365505253,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,280.0,pre,0.4995006080382778,0.0010246223373714,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,280.0,post,0.4965489410145722,0.0014562743028636,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,300.0,pre,0.5002718060992573,0.0012868215043255,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
