figure_panel,monkey_id,area,session_id,condition,axis,frequency_band,band_fmin_hz,band_fmax_hz,loading_energy,n_trials,n_features,n_label0,n_label1
Fig4C,Monkey_L,V4,Monkey_L_S02,pre,leading_null_dimension,high_gamma,70,150,0.570173261665685,76,2115,38,38
Fig4B,Monkey_L,V4,Monkey_L_S02,post,stimulus_discrimination_axis,low_gamma,30,70,0.282571284506494,42,2115,21,21
Fig4B,Monkey_L,V4,Monkey_L_S02,post,stimulus_discrimination_axis,high_gamma,70,150,0.620925148474827,42,2115,21,21
Fig4C,Monkey_L,V4,Monkey_L_S02,post,leading_null_dimension,low_gamma,30,70,0.153619395463597,42,2115,21,21
Fig4C,Monkey_L,V4,Monkey_L_S02,post,leading_null_dimension,high_gamma,70,150,0.294984571655903,42,2115,21,21
Fig4B,Monkey_L,V4,Monkey_L_S03,pre,stimulus_discrimination_axis,low_gamma,30,70,0.252254582044214,78,2115,39,39
Fig4B,Monkey_L,V4,Monkey_L_S03,pre,stimulus_discrimination_axis,high_gamma,70,150,0.614046936513438,78,2115,39,39
Fig4C,Monkey_L,V4,Monkey_L_S03,pre,leading_null_dimension,low_gamma,30,70,0.119301461039231,78,2115,39,39
Fig4C,Monkey_L,V4,Monkey_L_S03,pre,leading_null_dimension,high_gamma,70,150,0.193838820803069,78,2115,39,39
Fig4B,Monkey_L,V4,Monkey_L_S03,post,stimulus_discrimination_axis,low_gamma,30,70,0.238993686217678,66,2115,33,33
Fig4B,Monkey_L,V4,Monkey_L_S03,post,stimulus_discrimination_axis,high_gamma,70,150,0.637527875061305,66,2115,33,33
Fig4C,Monkey_L,V4,Monkey_L_S03,post,leading_null_dimension,low_gamma,30,70,0.46472833715103,66,2115,33,33
Fig4C,Monkey_L,V4,Monkey_L_S03,post,leading_null_dimension,high_gamma,70,150,0.168767849068439,66,2115,33,33
