figure_panel,frequency_band,area,time_ms,condition,mean_cp,sem_cp,source_monkeys,source_role
Fig3A,high_gamma,V4,-200.0,pre,0.4930099506345826,0.0058192802620322,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-180.0,post,0.4829302913162893,0.0091531607321525,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-180.0,pre,0.4871554684726623,0.0084176024179799,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-160.0,post,0.4796646721335502,0.0092704629911396,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-160.0,pre,0.4848563282475556,0.0118866527848174,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-140.0,post,0.4752629767697067,0.0052010958879891,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-140.0,pre,0.4867919936821545,0.0126213896224528,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-120.0,post,0.4754830889103315,0.0076750386273367,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-120.0,pre,0.4872317705564749,0.0132400430963158,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-100.0,post,0.4877632715492553,0.0126642022928373,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-100.0,pre,0.4864665468026984,0.0115291395976836,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-80.0,post,0.4940290931077752,0.0164947677597754,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-80.0,pre,0.4877982126759949,0.0064511288655278,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-60.0,post,0.5015872276606627,0.0182813527443403,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-60.0,pre,0.4829581296738273,0.0107584428062602,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-40.0,post,0.5060266429228053,0.019141202965837,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-40.0,pre,0.4833572768299241,0.0174263761593879,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-20.0,post,0.5090192946239271,0.0159571612936215,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,-20.0,pre,0.4936300886152946,0.0148631613060335,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,0.0,post,0.512116586589882,0.0141750031140628,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,0.0,pre,0.5139033970634219,0.0142845797021864,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,20.0,post,0.5100754789523135,0.014437374835353,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,20.0,pre,0.5310534727345985,0.0216779308934428,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,40.0,post,0.5026205700137283,0.0095804667289687,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,40.0,pre,0.5446742766380375,0.0140852004731054,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,60.0,post,0.493411794517012,0.005911575479154,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,60.0,pre,0.5463766081795576,0.0075093603771477,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,80.0,post,0.4901560047110299,0.0058938421012601,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,80.0,pre,0.5437245282616006,0.0111727250927333,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,100.0,post,0.4957514561045436,0.0079961191148146,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,100.0,pre,0.5418400512690252,0.0154385659734636,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,120.0,post,0.4997230243410194,0.0096604506126016,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,120.0,pre,0.5409320351426951,0.0128103602200057,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,140.0,post,0.501277795527085,0.0113135294514254,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,140.0,pre,0.534015544028964,0.0084922843717681,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,160.0,post,0.5010646157469398,0.0088711933876551,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,160.0,pre,0.5216614704845488,0.003489902051703,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,180.0,post,0.5057354283356194,0.0054788136368721,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,180.0,pre,0.5090372760706323,0.0044462222712576,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,200.0,post,0.5144964856183093,0.0063755262002222,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,200.0,pre,0.5079145641594214,0.0144126502583536,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,220.0,post,0.5182298901951963,0.0066282759725583,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,220.0,pre,0.5079935406966434,0.0169066566360711,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,240.0,post,0.5127796206003348,0.0057366422376162,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,240.0,pre,0.5129303549854795,0.0169849311956171,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,260.0,post,0.5090812577440725,0.0078889526449954,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,260.0,pre,0.5173534756207162,0.0174968145427717,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,280.0,post,0.5035148748922655,0.0094168825341534,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,280.0,pre,0.515707883213471,0.0170782518968763,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,300.0,post,0.5002327099144536,0.0102034379979591,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,300.0,pre,0.5187226407160368,0.0159861118685279,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,320.0,post,0.5010107820570181,0.0097572672730802,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,320.0,pre,0.5249928827213878,0.0137347834293292,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,340.0,post,0.5033185533034614,0.0094182475338682,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,340.0,pre,0.5227670614236736,0.0081015970882536,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,360.0,post,0.4991917916784366,0.0102776338563706,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,360.0,pre,0.5143284121155076,0.0071538852639965,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,380.0,post,0.4951280459834927,0.0118514590941126,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,380.0,pre,0.50466670289041,0.0101739708050142,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,400.0,post,0.4968971534147138,0.0113060708372212,Monkey_L;Monkey_A,area_timecourse_panel
Fig3A,high_gamma,V4,400.0,pre,0.4979553721514784,0.0091239524463403,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,MT,-200.0,post,0.5044813451222916,0.0068608985119055,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-200.0,pre,0.500221796823695,0.0050777555181692,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-180.0,post,0.5032024408660916,0.0077656213131538,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-180.0,pre,0.4971994999858687,0.0064422534092488,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-160.0,post,0.507724657362656,0.0094596283206616,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-160.0,pre,0.497542156906377,0.0084354907539274,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-140.0,post,0.5128147944334533,0.0082950877500302,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-140.0,pre,0.4971637617165781,0.0094185382763896,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-120.0,post,0.5145993867528142,0.0052119187326561,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-120.0,pre,0.4978490295301485,0.0108993142730493,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-100.0,post,0.5115387275462338,0.0054624995640685,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-100.0,pre,0.4975282771981823,0.0132275054337045,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-80.0,post,0.511091808009781,0.007300127679642,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-80.0,pre,0.497984837833861,0.0133979863822095,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-60.0,post,0.5108508504478064,0.0066891034496242,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-60.0,pre,0.4999984268079505,0.0115666447190315,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-40.0,post,0.5076813927846393,0.0041335501779332,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-40.0,pre,0.5022227070004108,0.0090006309526575,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-20.0,post,0.501477634247664,0.0030328661810514,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,-20.0,pre,0.5038505628331904,0.0070280180538698,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,0.0,post,0.5000094895561691,0.0023042262171213,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,0.0,pre,0.5037418568807723,0.0066022756164111,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,20.0,post,0.5013256855528068,0.0041136082980119,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,20.0,pre,0.5045883932386263,0.0065970720377089,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,40.0,post,0.5038629002461888,0.006051845433538,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,40.0,pre,0.5125440281423917,0.0078936639717098,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,60.0,post,0.5120875457038803,0.0094815100955684,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,60.0,pre,0.5216547686316193,0.008880029494383,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,80.0,post,0.5210246013982616,0.0134845472858461,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,80.0,pre,0.5234054441843391,0.0092794038085623,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,100.0,post,0.5239850634138679,0.0155426884861209,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,100.0,pre,0.5221224459651912,0.01020414277043,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,120.0,post,0.5241464521260005,0.0150233335039539,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,120.0,pre,0.5233655324472888,0.0098458691131287,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,140.0,post,0.5250285862739811,0.0142826224521633,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,140.0,pre,0.5243288750310832,0.0090540343737403,Monkey_Y;Monkey_C,area_timecourse_panel
